Date,Operator,Flight phase,Crash location,Total fatalities,Crash cause,Crash year,U Year,Total Death,,P Year,P Count,Operator,Op fatalities,
7/15/1960,Sherwood Aviation,Takeoff (climb),Otamauri Hawke's Bay Regional Council,1,Other causes,1960,,,,,,,,
7/15/1960,Ethiopian Airlines,Landing (descent or approach),Jimma Oromia,1,Human factor,1960,,,,,,,,
7/16/1960,Zonen Aviation - Zone-Redningskorpset Flyve-Tjenesten,Takeoff (climb),Copenhagen-Kastrup Hovedstaden,8,Human factor,1960,,,,,,,,
7/19/1960,Belgian Air Force - Force Aérienne Belge - Belgische Luchtmacht,Flight,Goma Nord-Kivu,39,Technical failure,1960,,,,,,,,
7/20/1960,Aeroflot - Russian International Airlines,Flight,Syktyvkar Republic of Komi,23,Weather,1960,,,,,,,,
7/21/1960,Aeroflot - Russian International Airlines,Takeoff (climb),Minsk City of Minsk,8,Human factor,1960,,,,,,,,
7/22/1960,East German Air Force - Luftstreitkräfte der Nationalen Volksarmee,Flight,Vockerode Saxony-Anhalt,7,Human factor,1960,,,,,,,,
7/27/1960,Private Danish,Landing (descent or approach),Edinburgh Midlothian (County of Edinburgh),0,Unknown,1960,,,,,,,,
7/31/1960,Deutsche Flugdienst,Landing (descent or approach),Rimini Emilia-Romagna,1,Technical failure,1960,,,,,,,,
8/1/1960,TAM Bolivia - Transporte Aéreo Militar Boliviano,Landing (descent or approach),Tipuani La Paz,6,Unknown,1960,,,,,,,,
8/9/1960,Royal Air Force - RAF,Landing (descent or approach),Winchfield Hampshire,0,Unknown,1960,,,,,,,,
8/15/1960,VASP - Viação Aérea de São Paulo,Landing (descent or approach),Campinas-Viracopos São Paulo,0,Technical failure,1960,,,,,,,,
8/15/1960,SLM Surinam Airways - Surinaamse Luchtvaart Maatschappij,NA,Paramaribo-Zorg en Hoop Paramaribo City District,0,Unknown,1960,,,,,,,,
8/15/1960,East African Airways,Takeoff (climb),Entebbe Central,0,Unknown,1960,,,,,,,,
8/17/1960,French Navy,Flight,El Kelâa des Sraghna Marrakech-Tensift-El Haouz,20,Technical failure,1960,,,,,,,,
8/17/1960,Aeroflot - Russian International Airlines,Flight,Tarasovichi Kiev oblast,34,Technical failure,1960,,,,,,,,
8/20/1960,Aerial Photography Company,Flight,Weeks Lake Quebec,0,Technical failure,1960,,,,,,,,
8/23/1960,United States Navy - USN,Landing (descent or approach),Kenitra Gharb-Chrarda-Béni Hssen,0,Unknown,1960,,,,,,,,
8/24/1960,Qantas Airways - Queensland and Northern Territory Aerial Services,Takeoff (climb),Port Louis All Mauritius,0,Technical failure,1960,,,,,,,,
8/24/1960,Société Générale d'Affrètement Aérien,Landing (descent or approach),Bordj Omar Driss Illizi,0,Unknown,1960,,,,,,,,
8/24/1960,Paraense Transportes Aéreos,Flight,Rio Jarí Rondônia,3,Unknown,1960,,,,,,,,
8/24/1960,Don Everall Aviation,Takeoff (climb),Heraklion Crete / <U+039A><U+03C1><U+03AE>t<U+03B7>,3,Technical failure,1960,,,,,,,,
8/24/1960,Bolivian Government,NA,El Palmar Tarija,0,Unknown,1960,,,,,,,,
8/25/1960,Italian Air Force - Aeronautica Militare Italiana,Landing (descent or approach),Monteflavio Lazio,4,Unknown,1960,,,,,,,,
8/25/1960,LOT Polish Airlines - Polskie Linie Lotnicze,Flight,Tczew Pomeranian Voivodeship (Pomorskie),6,Unknown,1960,,,,,,,,
8/28/1960,Indian Air Force - Bharatiya Vayu Sena,Flight,Puri Odisha (Orissa),0,"Terrorism act, Hijacking, Sabotage",1960,,,,,,,,
8/29/1960,Air France,Landing (descent or approach),Dakar Dakar Region,63,Unknown,1960,,,,,,,,
9/1/1960,Syrian Airways,Flight,Mpouya Plateaux,0,Technical failure,1960,,,,,,,,
9/2/1960,Aeroflot - Russian International Airlines,Flight,Fedorovskaya Arkhangelsk oblast,18,Human factor,1960,,,,,,,,
9/3/1960,Trek Airways,Flight,El Badary Asyut,0,Technical failure,1960,,,,,,,,
9/7/1960,Aerolineas Argentinas,Flight,Salto Salto,31,Technical failure,1960,,,,,,,,
9/11/1960,Italian Air Force - Aeronautica Militare Italiana,Landing (descent or approach),Laveno Lombardy,2,Unknown,1960,,,,,,,,
9/11/1960,United States Air Force - USAF,Flight,Empire Colorado,9,Human factor,1960,,,,,,,,
